Label;year
W1981773208;1981
W2077246689;1992
W4298090827;2002
W132691132;1991
W203846214;1995
W330758693;1986
W1980863354;2001
W2034797032;2000
W2050476380;1994
W2301110774;1999
W2518704906;1995
W2520733021;1995
W2520764978;1992
W2521154869;1996
W2522937672;2000
W4240988884;2000
W2102405111;1999
W1537216227;2004
W2143424580;2008
W596305657;1993
W1976466126;1990
W2172086953;1996
W1933453367;2015
W1980201834;2014
W1992345889;2014
W2008596407;2012
W2021688474;2012
W2022826124;2011
W2025700486;2010
W2043683548;2014
W2046830558;2009
W2075928395;2012
W2078619945;2011
W2083221797;2009
W2099919734;2015
W2101227285;2009
W2110065044;1995
W2115403315;2011
W2122838776;2007
W2133114940;2014
W2136706100;2013
W2137955320;2012
W2151666086;2012
W2165698076;2010
W2367798545;2016
W2394841101;2016
W2530824252;2017
W2548915941;2016
W2735995639;2018
W2743316948;2017
W2744611928;2018
W2766521509;2019
W2772246504;2017
W2795013017;2018
W2795469443;2019
W2795921267;2018
W2808896747;2019
W2895067255;2019
W2898124301;2020
W2898435572;2020
W2900832447;2019
W2963548617;2020
W2964279097;2021
W2969223458;2020
W2980281552;2019
W3125937743;2001
W4235354960;2005
W4238859253;2013
W4245807786;2018
W4250023757;2015
W4252684946;1945
W613599591;1987
W1484890219;1994
W1974348467;1994
W2008864670;1999
W2019861979;2000
W2034980649;1995
W2053358311;1997
W2076246275;1995
W2020789554;1996
W2033925396;1995
W2035234073;1998
W2071071565;1993
W2110467877;1995
W2144820394;1995
W4233050597;1997
W4245535722;1997
W4255829322;1998
W75342159;1987
W341386053;1987
W2019171175;1987
W2035084248;1988
W2091190366;1985
W2152213316;1982
W2030810189;2007
W2108514342;2011
W1512245131;2000
W1721627854;2003
W1756966985;1994
W2039212327;1996
W2040904776;2002
W2129629110;1999
W2142257039;2000
W2515702318;2016
W1526094911;1992
W203428986;2000
W1505203270;1992
W1989821937;1995
W2028447707;1994
W2034082590;1995
W2055174072;1996
W2073289760;1998
W2136069890;1998
W2168169865;2000
W2242701210;2000
W2942329642;1998
W3020095973;1997
W98290599;2011
W1973242104;2007
W1974060054;2010
W1978584911;1994
W1980950361;1978
W1989274559;2001
W1992707059;2010
W1994181716;1994
W2003435349;2014
W2017225268;2008
W2024174002;2015
W2025563408;1995
W2026226434;1992
W2028616231;1997
W2029448889;2012
W2030654594;2006
W2044127766;2002
W2044433074;2006
W2068551439;2000
W2069802413;2014
W2072494813;2012
W2073741400;2001
W2076728538;2005
W2076990247;2006
W2078790633;2007
W2087585684;2010
W2088817874;2011
W2090383007;1993
W2091430290;1984
W2130301062;2009
W2145241357;2006
W2953343485;2006
W4211084625;1999
W4252324767;2006
W1603287420;2005
W1785397047;1992
W2088589094;2013
W2182206949;['']
W2184556935;['']
W2615410920;2016
W2727770452;2014
W91148574;2011
W190680347;2013
W1524312302;2013
W2015079262;2013
W2051122001;2013
W2052247101;2013
W2168098237;2014
W2601751602;2014
W1586554382;2000
W2799211309;1993
W1978113847;2014
W1995468422;2009
W1998482811;2013
W2001536679;2012
W2030174571;2013
W2031146887;2012
W2035290465;2011
W2120204342;2011
W575437003;1997
W1506025291;1984
W1545149603;1992
W1548948015;1996
W1594478139;1989
W1601448319;1999
W1661964903;2001
W1837071007;1992
W1995620802;1992
W2047034562;1997
W2116121627;1997
W2135080258;1991
W2799164650;1966
W200880801;2008
W1569860697;2003
W1895688598;2016
W1994139275;2012
W1999994653;2012
W2021510200;2013
W2058480327;2012
W2077643179;2015
W2084758952;2006
W2088596064;2011
W2113714401;2006
W2120886380;2014
W2153646339;2002
W2165084703;1987
W2233380899;2016
W2727745026;2017
W2739289995;2019
W2884971945;2018
W2897674632;2018
W2964241487;2018
W3098365350;2012
W3098693582;2008
W3098766562;2004
W3099183960;2014
W3101729386;2017
W3101811010;2015
W4233629529;2013
W4301037388;2010
W4301229299;2004
W87187009;1999
W107071168;1999
W296812590;1998
W367552281;1996
W1533283156;2003
W1566184535;1994
W1586685251;1981
W1612099750;1994
W1814179671;1993
W1930303278;1989
W1987966617;1996
W1994373531;1999
W1998817282;1998
W2025565581;1998
W2029892795;1983
W2034682017;1987
W2037843516;1998
W2041664860;1963
W2050704076;1977
W2052835861;1997
W2053911026;1998
W2064445550;1985
W2065582769;1999
W2069916717;1993
W2116339812;1994
W2125377610;1985
W2158616454;1998
W2161499269;1988
W2289974481;1987
W2415068877;1991
W2729744999;1998
W2798365711;2000
W84355902;1996
W912917644;1998
W1535572570;1999
W1985659278;1999
W1985697040;1998
W2015592781;1999
W2051298261;1998
W2054393533;1999
W2063165632;1998
W2076818008;1998
W2086048748;1998
W2341630371;2002
W2550832060;1998
W1737967232;2008
W2101039721;2011
W2114408523;2008
W288144189;1993
W1570509535;2008
W2085656916;1991
W295744223;1997
W1969483588;1997
W2044436724;1998
W2079228189;1998
W2143354169;1990
W2253623243;1993
W3151957642;1989
W2118234724;2009
W2528018143;2009
W4235017737;2007
W4239811951;2008
W2073598993;1979
W2169651505;1980
W2056040159;2010
W2608162071;2020
W2067192409;2001
W1993658880;1995
W2073459990;1994
W2139731476;1993
W2154597031;1997
W2167459640;1994
W2168659303;1995
W1977186939;2000
W1491824961;1997
W2062413962;1996
W2085562283;1997
W1967263698;2005
W2137834155;1997
W1985354008;1995
W2019664880;2005
W2000540100;2004
W1965900399;1994
W1983946678;1997
W2004509884;1997
W2029414701;2001
W2054885044;1981
W2102482022;1996
W2165713860;1995
W2160137632;2004
W68630991;1970
W1981866472;1995
W1983704445;1983
W2036211025;1989
W2073562927;1984
W2124789407;2001
W2152265235;1963
W2159020692;1995
W2162871524;1990
W2300794758;1999
W2322110553;2003
W2795609700;1959
W2797673944;1957
W2084400984;2011
W1964244460;1998
W1969439170;1998
W2000477432;2010
W2080675314;2009
W2886187421;2019
W2006335001;2003
W2006514013;2005
W2094304508;2014
W2119042808;2004
W2161017006;1999
W2300300631;2016
W2312842437;2011
W2592495972;2017
W2064630520;2002
W185148452;1999
W2080277725;1995
W2988931539;1997
W1976484924;1981
W1534016451;2003
W2053814254;2005
W2062275205;2002
W2139867036;2008
W2161701167;2006
W140843783;1997
W614314038;1995
W1515286695;1986
W2769043284;1989
W2797406457;1965
W3158783325;2001
W2118681270;2012
W2150289890;2009
W2169886991;2009
W256524652;2000
W1549260278;2003
W1967312804;2003
W1969464063;2004
W1981690384;2011
W2006562488;2005
W2015283166;2008
W2024052474;2004
W2044665075;2009
W2054517126;2005
W2059729828;2006
W2065829521;2004
W2077256301;2004
W2097820228;2011
W2098671420;2004
W2133401708;2006
W2152966935;2007
W2154614087;2004
W2166939925;2009
W2489872822;2011
W3157407122;2006
W2010269982;1996
W2036497020;1993
W2051068176;1997
W2147680960;2007
W3428575;2009
W18130768;2012
W202454459;2009
W292806030;1987
W334842104;1981
W1709018915;2011
W1989286548;1997
W2026587808;2006
W2030996727;1995
W2050167056;2008
W2079292001;2004
W2115392046;2010
W2157959046;2005
W2189253990;2005
W2262067809;2008
W2596133721;['']
W2930176951;1997
W2046393346;1994
W2145328861;1998
W196491407;2004
W280902229;1981
W1497721408;1990
W1515158344;1997
W1981057110;1984
W1981476975;2002
W2007531096;2002
W2066372266;1998
W2068490393;1992
W2077322066;1998
W2079593528;2001
W2082842666;1999
W2115104049;2001
W2128483484;2003
W2138209646;2002
W2162620934;2000
W2283953928;1990
W2391165892;2004
W2737998570;2020
W2133319863;1988
W1727274110;2015
W1995215418;2014
W2005687710;2011
W2057269036;2015
W2064539099;2014
W2116104206;2001
W2136371408;2011
W2166339423;1989
W2343952684;2016
W2474611284;2016
W2477257849;2016
W2489550445;2016
W2513899601;2016
W2617400317;2017
W2669238978;2017
W2754972376;2018
W2806793343;2018
W2889313968;2018
W2902678685;2021
W2914063501;2019
W2934164284;2019
W2941570178;2019
W2999508661;2000
W3000730137;2020
W4236590428;2016
W4237403970;2009
W4254261301;1994
W2147688363;2002
W160413857;['']
W2112901424;1997
W2051200964;2007
W2162230451;2003
W2386850836;2006
W3109089382;2003
W169615957;1992
W1995612661;1993
W2014000957;2001
W2023993612;1995
W2093740648;1993
W2103482666;2001
W2113302814;2001
W2145508648;1997
W2155484925;1991
W328094858;2004
W1494511710;2005
W1982896842;1995
W1990442528;2005
W2010594264;1999
W2101870306;2006
W2612742940;2006
W2505571167;2002
W4232983308;2000
W2229308080;2008
W2482715624;2004
W1504825264;1997
W1593312253;1999
W1605043241;2000
W2025151116;1999
W2081001058;1999
W2154773171;1999
W2158257041;1999
W2626014035;2020
W2007590550;2009
W2026040604;2009
W2056017053;2009
W2087388389;2010
W2096039028;2005
W2113257436;2002
W2131587686;2009
W2148781867;2010
W2150979738;1995
W2163668517;2001
W1936570860;2000
W1990976926;1999
W58915946;2008
W1542882459;1988
W1997482659;2010
W2057664528;2001
W69528060;2001
W2096781885;2000
W2123339683;2020
W2125126309;2000
W148469532;['']
W1573000309;1999
W1597647169;1998
W2046739569;2010
W2084052726;1977
W2128737032;2008
W2136570321;2020
W2149157922;2001
W2172027756;1997
W2085020917;1999
W2025306415;2011
W2086405092;2013
W2127415157;2012
W2144565876;2009
W2748128934;2017
W1552286166;2012
W1822167061;2015
W1968698509;2003
W1988693322;2006
W2019398004;2006
W2027837424;2009
W2033978833;2007
W2057573378;2000
W2082038355;2006
W2088096500;2008
W2097552696;2004
W2134136045;2006
W2808653374;2018
W2932586121;2019
W3014246873;2020
W2061463668;2010
W1546309554;2005
W1883149886;2005
W1932411592;2005
W2038005908;2005
W2042298296;2006
W2098161888;2005
W2143515151;2004
W2149230722;2005
W1984672343;1993
W2097459310;1992
W1512003831;2020
W2002135575;2003
W2008470562;2007
W2037719951;2008
W2729828012;2020
W3125472616;2010
W4253710804;2006
W2180938842;2004
W2358416176;2005
W2604052362;2020
W2607769975;2020
W2615356572;2020
W1964216915;2002
W2114955471;2002
W2467817197;2005
W2757541856;['']
W17118298;2020
W804578424;2020
W2000745971;2005
W2363592563;2007
W108424215;2005
W142341588;1993
W339711824;2006
W619169907;2006
W1435906458;2008
W1496940124;1991
W2898519191;1988
W2793056249;2002
W2040416674;2012
W2048891391;1998
W2019294751;1994
W2176399772;1992
W1963896607;2008
W1986499245;1994
W1995388514;2000
W2000569137;2000
W2001319212;1988
W2014157065;1987
W2030476498;2012
W2065595164;2002
W2082652812;2013
W2125743885;2005
W2147574171;2003
W2061762218;2012
W2066940655;2012
